lat,lon,sst
30.29,-81.37,28.45
30.29,-81.35,28.45
30.29,-81.33,28.43
30.29,-81.31,28.43
30.29,-81.29,28.45
30.27,-81.37,28.45
30.27,-81.35,28.44
30.27,-81.33,28.43
30.27,-81.31,28.44
30.27,-81.29,28.5
30.27,-81.27,28.47
30.27,-81.25,28.4
30.27,-81.23,28.4
30.25,-81.37,28.43
30.25,-81.35,28.42
30.25,-81.33,28.43
30.25,-81.31,28.47
30.25,-81.29,28.5
30.25,-81.27,28.46
30.25,-81.25,28.39
30.25,-81.23,28.32
30.25,-81.21,28.23
30.23,-81.37,28.32
30.23,-81.35,28.32
30.23,-81.33,28.41
30.23,-81.31,28.5
30.23,-81.29,28.51
30.23,-81.27,28.45
30.23,-81.25,28.38
30.23,-81.23,28.3
30.21,-81.65,28.16
30.21,-81.35,28.33
30.21,-81.33,28.44
30.21,-81.31,28.51
30.21,-81.29,28.51
30.21,-81.27,28.5
30.21,-81.25,28.45
30.21,-81.23,28.34
30.17,-81.67,28.19
30.15,-81.33,28.18
30.15,-81.29,28.19
30.15,-81.27,28.17
30.13,-81.63,28.4
30.13,-81.31,28.17
30.13,-81.29,28.18
30.13,-81.27,28.19
30.13,-81.25,28.17
30.13,-81.23,28.04
30.13,-81.21,27.98
30.13,-81.19,27.87
30.13,-81.17,27.85
30.13,-81.15,27.84
30.13,-81.13,27.9
30.13,-81.11,27.83
30.13,-81.01,27.85
30.11,-81.67,28.39
30.11,-81.65,28.39
30.11,-81.31,28.14
30.11,-81.29,28.13
30.11,-81.27,28.17
30.11,-81.25,28.11
30.11,-81.23,28.03
30.11,-81.21,27.96
30.11,-81.19,27.87
30.11,-81.17,27.87
30.11,-81.15,27.83
30.11,-81.13,27.87
30.11,-81.11,27.82
30.11,-81.09,27.81
30.11,-81.03,27.85
30.11,-81.01,27.85
30.11,-80.97,27.9
30.09,-81.31,28.2
30.09,-81.29,28.2
30.09,-81.27,28.2
30.09,-81.25,28.09
30.09,-81.23,27.97
30.09,-81.21,27.94
30.09,-81.19,27.86
30.09,-81.17,27.76
30.09,-81.15,27.74
30.09,-81.13,27.78
30.09,-81.11,27.73
30.09,-81.09,27.8
30.09,-81.05,27.81
30.09,-81.03,27.8
30.09,-81.01,27.82
30.09,-80.99,27.87
30.09,-80.97,27.91
30.09,-80.95,27.93
30.07,-81.33,28.19
30.07,-81.31,28.25
30.07,-81.29,28.27
30.07,-81.27,28.18
30.07,-81.25,28.08
30.07,-81.23,27.89
30.07,-81.21,27.9
30.07,-81.19,27.84
30.07,-81.17,27.85
30.07,-81.15,27.74
30.07,-81.13,27.77
30.07,-81.11,27.67
30.07,-81.09,27.68
30.07,-81.07,27.71
30.07,-81.05,27.73
30.07,-81.03,27.8
30.07,-81.01,27.83
30.07,-80.99,27.84
30.07,-80.97,27.89
30.07,-80.95,27.88
30.07,-80.93,27.89
30.05,-81.71,28.47
30.05,-81.31,28.32
30.05,-81.29,28.29
30.05,-81.27,28.13
30.05,-81.25,27.92
30.05,-81.23,27.85
30.05,-81.21,27.91
30.05,-81.19,27.88
30.05,-81.17,27.89
30.05,-81.15,27.81
30.05,-81.13,27.82
30.05,-81.11,27.64
30.05,-81.09,27.72
30.05,-81.07,27.73
30.05,-81.05,27.74
30.05,-81.03,27.85
30.05,-81.01,27.88
30.05,-80.99,27.89
30.05,-80.97,27.85
30.05,-80.95,27.84
30.05,-80.49,29.02
30.05,-80.47,29.03
30.03,-81.31,28.35
30.03,-81.29,28.33
30.03,-81.27,28.26
30.03,-81.25,28.1
30.03,-81.23,27.94
30.03,-81.21,27.99
30.03,-81.19,28.0
30.03,-81.17,27.9
30.03,-81.15,27.85
30.03,-81.13,27.81
30.03,-81.11,27.69
30.03,-81.09,27.73
30.03,-81.07,27.8
30.03,-81.05,27.83
30.03,-81.03,27.85
30.03,-81.01,27.86
30.03,-80.99,27.91
30.03,-80.97,27.88
30.03,-80.95,27.82
30.03,-80.93,27.81
30.03,-80.49,29.02
30.03,-80.47,29.03
30.03,-80.43,29.15
30.03,-80.41,29.14
30.03,-80.35,29.27
30.01,-81.31,28.18
30.01,-81.29,28.28
30.01,-81.27,28.3
30.01,-81.25,28.2
30.01,-81.23,27.97
30.01,-81.21,27.97
30.01,-81.19,27.95
30.01,-81.17,27.91
30.01,-81.15,27.84
30.01,-81.13,27.79
30.01,-81.11,27.75
30.01,-81.09,27.71
30.01,-81.07,27.76
30.01,-81.05,27.79
30.01,-81.03,27.8
30.01,-81.01,27.88
30.01,-80.99,27.89
30.01,-80.97,27.84
30.01,-80.95,27.81
30.01,-80.93,27.8
30.01,-80.49,29.02
30.01,-80.47,29.02
30.01,-80.43,29.14
30.01,-80.37,29.26
30.01,-80.35,29.26
30.01,-80.31,29.41
30.01,-80.29,29.47
29.99,-81.65,28.55
29.99,-81.63,28.55
29.99,-81.61,28.55
29.99,-81.31,28.16
29.99,-81.29,28.18
29.99,-81.27,28.29
29.99,-81.25,28.29
29.99,-81.23,28.03
29.99,-81.21,27.97
29.99,-81.19,27.92
29.99,-81.17,27.84
29.99,-81.15,27.76
29.99,-81.13,27.7
29.99,-81.11,27.7
29.99,-81.09,27.62
29.99,-81.07,27.76
29.99,-81.05,27.79
29.99,-81.03,27.84
29.99,-81.01,27.87
29.99,-80.99,27.8
29.99,-80.97,27.77
29.99,-80.95,27.76
29.99,-80.93,27.8
29.99,-80.43,29.14
29.99,-80.37,29.26
29.99,-80.35,29.26
29.99,-80.31,29.43
29.99,-80.29,29.48
29.99,-80.27,29.45
29.97,-81.61,28.61
29.97,-81.59,28.59
29.97,-81.29,28.17
29.97,-81.27,28.29
29.97,-81.25,28.31
29.97,-81.23,28.01
29.97,-81.21,27.98
29.97,-81.19,27.84
29.97,-81.17,27.74
29.97,-81.15,27.66
29.97,-81.13,27.64
29.97,-81.11,27.63
29.97,-81.09,27.65
29.97,-81.07,27.77
29.97,-81.05,27.78
29.97,-81.03,27.77
29.97,-81.01,27.77
29.97,-80.99,27.74
29.97,-80.97,27.74
29.97,-80.95,27.79
29.97,-80.93,27.81
29.97,-80.43,29.14
29.97,-80.33,29.4
29.97,-80.31,29.47
29.97,-80.29,29.48
29.97,-80.27,29.45
29.97,-80.19,29.57
29.97,-80.17,29.58
29.95,-81.59,28.53
29.95,-81.29,28.15
29.95,-81.27,28.32
29.95,-81.25,28.33
29.95,-81.23,28.17
29.95,-81.21,27.94
29.95,-81.19,27.8
29.95,-81.17,27.71
29.95,-81.15,27.68
29.95,-81.13,27.69
29.95,-81.11,27.77
29.95,-81.09,27.85
29.95,-81.07,27.91
29.95,-81.01,27.77
29.95,-80.99,27.75
29.95,-80.97,27.73
29.95,-80.95,27.76
29.95,-80.35,29.36
29.95,-80.33,29.43
29.95,-80.31,29.49
29.95,-80.21,29.58
29.95,-80.19,29.58
29.95,-80.13,29.95
29.95,-80.11,29.97
29.93,-81.29,28.15
29.93,-81.27,28.16
29.93,-81.25,28.18
29.93,-81.23,28.23
29.93,-81.21,27.95
29.93,-81.19,27.88
29.93,-81.17,27.69
29.93,-81.15,27.65
29.93,-81.13,27.66
29.93,-81.11,27.66
29.93,-81.09,27.75
29.93,-81.01,27.62
29.93,-80.99,27.68
29.93,-80.97,27.66
29.93,-80.95,27.68
29.93,-80.93,27.72
29.93,-80.33,29.48
29.93,-80.31,29.5
29.93,-80.29,29.5
29.93,-80.27,29.51
29.93,-80.21,29.61
29.93,-80.19,29.6
29.93,-80.15,29.79
29.93,-80.13,29.96
29.93,-80.11,29.95
29.93,-80.05,29.88
29.93,-80.03,29.89
29.91,-81.27,28.14
29.91,-81.25,28.17
29.91,-81.23,28.17
29.91,-81.21,28.03
29.91,-81.19,27.81
29.91,-81.17,27.74
29.91,-81.15,27.67
29.91,-81.13,27.63
29.91,-81.11,27.58
29.91,-81.09,27.56
29.91,-81.03,27.57
29.91,-81.01,27.59
29.91,-80.99,27.63
29.91,-80.29,29.51
29.91,-80.23,29.56
29.91,-80.21,29.63
29.91,-80.15,29.92
29.91,-80.13,29.94
29.91,-80.11,29.95
29.91,-80.05,29.88
29.89,-81.27,28.12
29.89,-81.25,28.16
29.89,-81.23,28.12
29.89,-81.21,28.12
29.89,-81.19,27.96
29.89,-81.17,27.79
29.89,-81.15,27.79
29.89,-81.13,27.7
29.89,-81.11,27.61
29.89,-81.09,27.57
29.89,-81.07,27.55
29.89,-80.29,29.51
29.89,-80.27,29.53
29.89,-80.25,29.54
29.89,-80.23,29.56
29.89,-80.19,29.75
29.89,-80.17,29.88
29.89,-80.15,29.98
29.89,-80.13,29.96
29.89,-80.11,29.96
29.89,-80.07,29.82
29.89,-80.05,29.87
29.87,-81.25,28.15
29.87,-81.23,28.11
29.87,-81.21,28.14
29.87,-81.19,27.96
29.87,-81.17,27.81
29.87,-81.15,27.78
29.87,-81.13,27.72
29.87,-81.11,27.65
29.87,-81.09,27.56
29.87,-81.07,27.53
29.87,-81.05,27.53
29.87,-80.11,30.04
29.85,-81.25,28.11
29.85,-81.23,28.07
29.85,-81.21,28.14
29.85,-81.19,28.12
29.85,-81.17,27.86
29.85,-81.15,27.82
29.85,-81.13,27.69
29.85,-81.11,27.65
29.85,-81.09,27.65
29.85,-81.07,27.57
29.85,-81.05,27.54
29.85,-81.03,27.57
29.83,-81.57,28.59
29.83,-81.25,28.13
29.83,-81.23,28.14
29.83,-81.21,28.1
29.83,-81.19,28.06
29.83,-81.17,27.87
29.83,-81.15,27.77
29.83,-81.13,27.69
29.83,-81.11,27.65
29.83,-81.09,27.64
29.83,-81.07,27.6
29.83,-81.05,27.59
29.81,-81.57,28.63
29.81,-81.25,28.12
29.81,-81.23,28.1
29.81,-81.21,28.05
29.81,-81.19,27.99
29.81,-81.17,27.89
29.81,-81.15,27.78
29.81,-81.13,27.7
29.81,-81.11,27.72
29.81,-81.09,27.72
29.81,-81.07,27.69
29.81,-81.05,27.65
29.79,-81.57,28.58
29.79,-81.55,28.55
29.79,-81.25,28.12
29.79,-81.23,28.18
29.79,-81.21,28.01
29.79,-81.19,27.98
29.79,-81.17,27.93
29.79,-81.15,27.76
29.79,-81.13,27.74
29.79,-81.11,27.78
29.79,-81.09,27.74
29.79,-81.07,27.67
29.79,-81.05,27.61
29.79,-81.03,27.63
29.79,-81.01,27.61
29.77,-81.55,28.66
29.77,-81.25,28.15
29.77,-81.23,28.17
29.77,-81.21,28.02
29.77,-81.19,27.91
29.77,-81.17,27.84
29.77,-81.15,27.75
29.77,-81.13,27.79
29.77,-81.11,27.82
29.77,-81.09,27.8
29.77,-81.07,27.76
29.77,-81.05,27.67
29.77,-81.03,27.67
29.77,-81.01,27.64
29.75,-81.23,27.92
29.75,-81.21,27.94
29.75,-81.17,27.78
29.75,-81.15,27.77
29.75,-81.13,27.75
29.75,-81.11,27.73
29.75,-81.09,27.7
29.75,-81.07,27.72
29.75,-81.05,27.66
29.73,-81.23,28.0
29.73,-81.21,28.04
29.73,-81.19,27.95
29.73,-81.17,27.83
29.73,-81.15,27.83
29.73,-81.13,27.74
29.73,-81.11,27.72
29.73,-81.09,27.69
29.73,-81.07,27.73
29.73,-81.05,27.74
29.73,-81.03,27.78
29.71,-81.21,28.04
29.71,-81.19,27.89
29.71,-81.17,27.81
29.71,-81.15,27.77
29.71,-81.13,27.75
29.71,-81.11,27.74
29.71,-81.09,27.67
29.71,-81.07,27.76
29.71,-81.05,27.82
29.69,-81.21,28.02
29.69,-81.19,28.01
29.69,-81.17,27.88
29.69,-81.15,27.83
29.69,-81.13,27.81
29.69,-81.11,27.72
29.69,-81.09,27.68
29.69,-81.07,27.7
29.69,-81.05,27.79
29.67,-81.21,28.08
29.67,-81.19,28.01
29.67,-81.17,27.87
29.67,-81.15,27.85
29.67,-81.13,27.82
29.67,-81.11,27.69
29.67,-81.09,27.7
29.67,-81.07,27.71
29.65,-81.19,28.07
29.65,-81.17,27.93
29.65,-81.15,27.91
29.65,-81.13,27.89
29.65,-81.11,27.78
29.65,-81.09,27.75
29.63,-81.19,28.1
29.63,-81.17,28.1
29.63,-81.15,28.0
29.63,-81.13,27.98
29.63,-81.11,27.89
29.63,-81.09,27.84
29.63,-81.07,27.77
29.61,-81.17,28.21
29.61,-81.15,28.14
29.61,-81.13,28.05
29.61,-81.11,27.92
29.61,-81.09,27.87
29.61,-81.07,27.8
29.61,-81.05,27.71
29.61,-79.39,29.79
29.59,-81.17,28.25
29.59,-81.15,28.22
29.59,-81.13,28.12
29.59,-81.11,27.93
29.59,-81.09,27.84
29.59,-81.07,27.82
29.59,-81.05,27.72
29.59,-81.03,27.68
29.59,-78.85,28.93
29.59,-78.83,28.91
29.57,-81.15,28.17
29.57,-81.13,28.11
29.57,-81.11,27.97
29.57,-81.09,27.87
29.57,-81.07,27.83
29.57,-81.05,27.71
29.57,-81.03,27.66
29.57,-80.99,27.63
29.57,-80.97,27.62
29.57,-80.73,28.01
29.57,-79.23,29.74
29.57,-79.21,29.8
29.57,-78.85,28.93
29.57,-78.83,28.91
29.57,-78.75,28.92
29.55,-81.15,28.17
29.55,-81.13,28.1
29.55,-81.11,27.91
29.55,-81.09,27.88
29.55,-81.07,27.77
29.55,-81.05,27.68
29.55,-81.03,27.73
29.55,-81.01,27.71
29.55,-80.99,27.64
29.55,-80.97,27.66
29.55,-80.95,27.67
29.55,-80.93,27.72
29.55,-80.91,27.8
29.55,-80.89,27.97
29.55,-80.87,28.21
